                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7499,                 4.1315,                 1.7993,                0.03502,                 0.2488,                0.06575,                0.02428,                  2.831,                  3.758,                  1.887,              6.003e-05,              6.003e-05,              6.003e-05
                      2,                 2.5297,                 2.7466,                 1.5683,                0.86699,                0.10488,                0.11161,                0.04968,                 3.0368,                 3.6963,                 1.8551,             0.00012548,             0.00012548,             0.00012548
                      3,                 2.4456,                  2.168,                 1.4953,                0.53268,                  0.186,                0.17329,                 0.0574,                  2.956,                 3.7327,                 1.8582,              0.0001896,              0.0001896,              0.0001896
                      4,                 2.4319,                 2.2145,                 1.5769,                0.55162,                0.21663,                0.25626,                0.10906,                 2.7327,                 2.7504,                 1.7972,              0.0002524,              0.0002524,              0.0002524
                      5,                 2.2242,                  1.923,                 1.5376,                 0.2411,                0.30779,                0.26285,                 0.1132,                 2.6564,                 3.6288,                 1.8047,             0.00031389,             0.00031389,             0.00031389
                      6,                 2.1735,                 1.8267,                 1.4958,                0.40459,                0.28048,                 0.2655,                0.10931,                  2.676,                 3.3276,                 1.8361,             0.00037405,             0.00037405,             0.00037405
                      7,                 2.3148,                 1.7823,                 1.6147,                0.43468,                0.29524,                 0.3003,                0.11471,                 2.6845,                 2.7044,                 1.8486,             0.00043289,             0.00043289,             0.00043289
                      8,                 2.2843,                  1.862,                 1.5742,                0.58269,                0.34973,                0.31995,                0.12115,                 2.6287,                 2.4209,                 1.8153,             0.00049041,             0.00049041,             0.00049041
                      9,                 2.2712,                 1.7344,                 1.5086,                 0.6187,                0.32339,                0.37877,                0.13892,                 2.6333,                 2.3392,                  1.807,             0.00054661,             0.00054661,             0.00054661
                     10,                 2.2351,                 1.6609,                 1.4646,                0.67674,                0.37015,                0.36594,                0.14148,                 2.6418,                  2.287,                 1.8282,             0.00060149,             0.00060149,             0.00060149
                     11,                 2.2503,                 1.6181,                 1.5077,                0.66479,                0.36118,                0.39433,                0.15277,                 2.6207,                 2.2312,                 1.8312,             0.00060097,             0.00060097,             0.00060097
                     12,                 2.1356,                 1.4628,                 1.4534,                0.74428,                0.37083,                0.41272,                0.17181,                 2.5804,                 2.2206,                 1.8034,             0.00059436,             0.00059436,             0.00059436
                     13,                 2.1922,                 1.6286,                 1.5284,                0.73605,                0.39719,                0.41065,                0.17644,                  2.539,                 1.9337,                 1.7854,             0.00058776,             0.00058776,             0.00058776
                     14,                 2.1615,                 1.5215,                 1.4966,                0.73006,                0.35474,                0.41553,                0.18219,                 2.5688,                 2.1782,                 1.8004,             0.00058116,             0.00058116,             0.00058116
                     15,                 2.1269,                  1.435,                 1.4448,                0.50549,                0.41251,                0.42149,                0.17356,                 2.5872,                 2.0117,                 1.7828,             0.00057455,             0.00057455,             0.00057455
